bridge_deck,dew_point,wind_chill,wet_bulb,air_temp,relative_humidity,wind_speed
-16.88,-30.08,-23.29,-19.56,-18.35,35.02,1.76
-16.8,-31.3,-23.65,-19.63,-18.34,31.16,1.95
-16.85,-30.49,-22.97,-19.56,-18.32,33.6,1.66
-16.7,-31.33,-23.77,-19.54,-18.23,30.78,2.1
-16.89,-29.33,-23.76,-19.38,-18.19,37.06,1.98
-16.83,-30.23,-23.6,-19.43,-18.18,34.04,1.98
-16.82,-29.66,-22.73,-19.39,-18.18,35.91,1.54
-16.7,-30.89,-23.67,-19.46,-18.18,31.95,2.01
-16.88,-29.76,-23.86,-19.4,-18.17,35.55,2.1
-16.67,-30.75,-24,-19.45,-18.17,32.37,2.15
-16.64,-30.4,-23.15,-19.38,-18.11,33.29,1.81
-16.6,-29.99,-22.61,-19.36,-18.11,35,1.6
-16.57,-29.77,-23.62,-19.26,-18.02,35.07,2.03
-15.99,-34.66,-23.69,-19.34,-17.81,21.51,2.3
14.78,-5.29,11.82,4.91,-17.75,29.86,1.35
-15.92,-34.7,-21.88,-19.26,-17.72,21.25,1.5
10.23,-10.1,12.23,4.02,-17.68,20.32,1.29
-15.74,-34.8,-21.96,-19.19,-17.63,20.86,1.61
11.29,-9.15,13.41,4.68,-17.61,20.55,1.5
-15.78,-34.94,-21.76,-19.18,-17.36,20.57,1.46
17.94,-11.86,9.33,2.25,-17.02,21.15,0.98
-15.07,-34.11,-18.68,-18.6,-16.97,21.15,0.73
15.41,-4.84,12.5,5.31,-16.96,29.79,1.34
-14.41,-34.81,-25.03,-18.62,-16.96,19.73,3.93
8.4,-14.51,5.95,-0.07,-16.95,21.21,0.9
-14.97,-34.19,-19.51,-18.74,-16.93,21.28,1
-14.23,-34.8,-24.12,-18.56,-16.89,19.62,3.33
12.13,-5.95,11.39,4.38,-16.88,29.78,0.75
-15,-31.79,-24.39,-18.41,-16.88,26.3,3.29
8.68,-14.63,5.4,-0.24,-16.85,21.37,1.18
-14.11,-34.89,-25.3,-18.44,-16.7,19.22,4.39
-13.73,-34.44,-24.45,-18.21,-16.5,19.68,3.96
-13.86,-33.84,-21.98,-18.14,-16.44,20.79,2.2
-13.68,-30.56,-24.53,-17.93,-16.39,28.37,3.78
-13.08,-31.7,-24.66,-17.94,-16.33,25.46,4.14
-13.63,-34.67,-23.8,-18.06,-16.3,18.94,3.76
-12.12,-31.63,-25.07,-17.75,-16.1,25.02,4.8
2.21,-12.88,2.21,-1.7,-12.84,30.08,1.16
4.67,-13.32,2.01,-2.07,-12.84,30.09,1.03
-13.84,-22.12,-19.52,-14.32,-12.82,45.72,3.52
-12.12,-24.38,-18.14,-14.52,-12.8,37.34,2.43
-13.91,-22.22,-19.42,-14.29,-12.78,45.17,3.53
-13.44,-21.36,-17.92,-14.19,-12.77,48.65,2.25
-10.66,-32.36,-21.28,-15.03,-12.75,17.73,5.59
-14.02,-22.27,-18.38,-14.24,-12.7,44.69,2.71
-8.62,-24.88,-13.35,-12.87,-12.69,30.12,1.27
-10.54,-31.9,-20.57,-14.95,-12.68,18.44,4.96
-13.98,-23.07,-18.33,-14.27,-12.64,41.43,2.8
20.3,3.09,22.66,11.84,-12.63,30.12,1.26
-13.93,-22.18,-18.93,-14.17,-12.63,44.78,3.2
-11.99,-24.8,-15.76,-14.42,-12.62,35.48,1.34
-14,-21.95,-17.7,-14.1,-12.57,45.49,2.32
21.15,3.25,23.04,11.97,-12.55,30.14,1.2
-11.41,-24.78,-15.76,-14.34,-12.53,35.27,1.37
2.71,-13.18,2.48,-1.97,-12.52,30.16,0.79
-1.33,-16.06,-1.83,-4.59,-12.51,30.19,1.16
-11.8,-22.91,-16.74,-14.14,-12.51,41.59,1.76
